================================================================
  blender-web M4.pre shell:  http://localhost:8127/
  COOP=same-origin  COEP=require-corp  (SharedArrayBuffer enabled)
  shell = /Users/paws/blender-web/platform_web/shell
  /bin  = /Users/paws/blender-web/build-wasm-windowed-opt/bin-namestrip
  Ctrl-C to stop.
================================================================
  "GET /windowed.html?pyexpr=import%20bpy%2Cos%2Csys%2Cgc%0Adef%20_p()%3A%0A%20try%3A%0A%20%20import%20resource%3B%20rss%3Dresource.getrusage(resource.RUSAGE_SELF).ru_maxrss%0A%20except%20Exception%20as%20e%3A%0A%20%20rss%3D%27ERR%3A%27%2Btype(e).__name__%0A%20try%3A%0A%20%20blk%3Dsys.getallocatedblocks()%0A%20except%20Exception%20as%20e%3A%0A%20%20blk%3D%27ERR%27%0A%20os.write(2%2C%20(%27PYMEM%20rss%3D%25s%20blocks%3D%25s%20objs%3D%25d%20meshes%3D%25d%20objects%3D%25d%5Cn%27%25(rss%2Cblk%2Clen(gc.get_objects())%2Clen(bpy.data.meshes)%2Clen(bpy.data.objects))).encode())%0A%20return%20None%0Abpy.app.timers.register(_p%2C%20first_interval%3D2.0) HTTP/1.1" 200 -
  "GET /file-bridge.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /boot-windowed.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.data HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.wasm HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  code 404, message File not found
  "GET /favicon.ico HTTP/1.1" 404 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
  "GET /bin/blender_browser.js HTTP/1.1" 200 -
